vendorId,productId,Product Owner,Vendor Title,Warehouse Availability,Product Category,Product Title,Inventory,Re-Order_Point,Quantity to Send (15 working days),State,#Shipment in Progress,Warehouse Name,City
0,0,Retail,کوئیک سرویس امین (منطقه 8 نارمک),-,0,لنت جلو ریو، تیبا 2، کوییک، ساینا پارس آبی,0.0,0.0,0.0,🟥Supply Needed,-,-,0
448d890a-a3b9-4ca0-8f17-f6486438f364,3721d8e6-a2f5-4fc6-ace1-601ecbfb2e85,Retail,اتو سرویس مهدی (شهر ری - شهرک علائین),0.0,Bestseller,بهران سوپر پیشتاز  (SL 20W50)  4 لیتری پلاستیکی,0.0,1.0,0.0,🟥Supply Needed,-,مرکز عملیات-کهریزک,تهران
0,0,Retail,کلینیک خودرویی سورن (شیراز - احمد ابن موسی),-,0,لنت کفشکی عقب پراید عظام,0.0,0.0,0.0,🟥Supply Needed,-,-,0
0,0,Retail,اتو سرویس آریا 2 (منطقه 5_سیمون بولیوار),-,0,لنت جلو مناسب تیبا و ریو مدرن تندیس,0.0,0.0,0.0,🟥Supply Needed,-,-,0
0,0,Retail,کلینیک خودرو 444 (منطقه 4 - سراج),-,0,ضد یخ ایرانول(AF_G) 1 لیتری ,0.0,0.0,0.0,🟥Supply Needed,-,-,0
0,0,Retail,کارواش آداک (اصفهان - جی),-,0,واکس کامل خودروهای داخلی,0.0,0.0,0.0,🟥Supply Needed,-,-,0
63b295ef-94d3-4cc7-8338-aa5fedf40a00,62a74044-58c8-4756-b98e-a937e7ee1dfd,Retail,تعویض روغنی اسماعیل (شیراز - بلوار نصر),66.0,Bestseller,روغن ایرانول 12000 (SJ 10W40) 4 لیتری فلزی ,0.0,1.0,0.0,🟥Supply Needed,12.0,مرکز عملیات-اصفهان,شیراز
0,0,Retail,اتو سرویس لیوسا (منطقه16 - میدان بهشت),-,0,فلومکس (SJ 10W40) 4 لیتری پلاستیکی,0.0,0.0,0.0,🟥Supply Needed,-,-,0
0,0,Retail,اتو سرویس کرمی (منطقه 2 - گیشا),-,0,فیلتر هوا پژو پارس 405 سمند موتورهای XU7 سرکان کد 0939,0.0,0.0,0.0,🟥Supply Needed,-,-,0
5df92c2e-b7dc-4723-ab4c-57cd2297fb84,063650d8-d247-4be7-a200-3a0884b56bfd,Retail,اتو سرویس محمودی (اهواز - منبع اب),0.0,Bestseller,ایرانول ریسینگ (SL 10W40) 4 لیتری فلزی,0.0,1.0,0.0,🟥Supply Needed,-,مرکز عملیات-اصفهان,اهواز
0,0,Retail,تاپ سرویس مهرزاد (اصفهان - هدایت),-,0,فیلتر روغن خودرو سرکان 206 تیپ 2 کد 7255,0.0,0.0,0.0,🟥Supply Needed,-,-,0
0,0,Retail,لاستیک فروشی مطلبی (منطقه 14 - خیابان پرستار ),-,0,لاستیک ای پلاس 195/55 R15,0.0,0.0,0.0,🟥Supply Needed,-,-,0
